event_number,event_time,pp_height,p_ratio,p_dist,fwhm1,fwhm2
1,29.23,13713.0,0.47,4,2,6
2,107.36,13340.0,0.53,4,1,4
3,241.73,33200.0,0.708,4,2,4
4,242.83,12702.0,0.525,4,2,3
5,288.45,18415.0,0.561,4,1,5
6,321.22,27927.0,0.502,4,1,4
7,326.04,33118.0,0.699,4,1,5
8,341.76,11096.0,0.603,4,2,3
9,348.61,18095.0,0.547,4,2,4
10,736.64,31269.0,0.782,4,-1,5
11,822.15,24853.0,1.238,14,13,20
12,822.2,16653.0,0.927,15,12,15
13,822.22,12493.0,0.737,20,9,19
14,822.9,15605.0,0.552,4,2,5
15,823.37,31126.0,0.866,4,2,6
16,824.14,10989.0,0.478,7,5,5
17,824.54,26350.0,0.483,4,2,6
18,826.04,18333.0,0.563,4,2,4
19,827.51,32723.0,0.708,4,2,6
20,828.32,15266.0,0.38,5,1,7
21,829.43,23445.0,0.595,4,2,5
22,831.93,14218.0,0.471,5,-1,5
23,833.21,16055.0,0.585,5,2,4
24,834.23,33737.0,0.813,5,-1,5
25,836.11,32862.0,0.789,4,-1,5
26,836.98,29723.0,0.689,4,2,5
27,837.17,12756.0,0.602,6,1,5
28,838.65,25667.0,0.433,4,1,5
29,839.33,17566.0,0.527,4,2,4
30,839.84,11401.0,0.694,3,2,4
31,846.35,22749.0,0.486,4,-1,5
32,847.44,9693.0,0.592,6,2,4
33,849.4,22208.0,0.504,4,-1,5
34,854.31,26280.0,0.534,4,2,5
35,861.67,10240.0,0.501,5,-1,4
36,866.13,12108.0,0.524,4,2,5
37,871.44,31875.0,0.667,4,2,5
38,873.51,13842.0,0.593,4,2,4
39,876.48,9834.0,0.535,3,-1,4
40,884.43,15119.0,0.569,4,1,4
41,889.09,15879.0,0.431,5,-1,6
42,894.98,12316.0,0.445,4,2,4
43,899.6,26480.0,0.547,4,2,5
44,899.78,8669.0,0.584,4,2,5
45,903.42,28169.0,0.701,5,-1,6
46,908.84,28846.0,0.508,4,-1,4
47,909.42,22663.0,0.508,5,2,5
48,911.57,9134.0,0.516,4,2,5
49,916.87,31420.0,0.65,4,2,4
50,917.78,25501.0,0.677,4,2,5
51,919.0,16689.0,0.451,4,1,5
52,920.3,18799.0,0.487,4,1,4
53,921.39,32789.0,0.84,4,-1,5
54,928.11,19607.0,0.621,4,-1,5
55,931.1,10262.0,0.643,2,2,4
56,932.16,10465.0,0.534,4,1,4
57,932.31,12378.0,0.517,5,1,1
58,933.04,22029.0,0.475,4,1,4
59,934.49,12965.0,0.664,4,-1,3
60,935.15,29547.0,0.726,4,2,4
61,945.14,17688.0,0.43,5,2,7
62,948.27,27190.0,0.538,5,-1,6
63,949.34,28169.0,0.523,4,-1,5
64,964.72,14866.0,0.593,3,2,5
65,965.85,11313.0,0.413,4,-1,4
66,966.34,9878.0,0.645,4,2,2
67,967.79,14467.0,0.651,5,1,3
68,970.1,26236.0,0.518,5,2,7
69,970.31,11835.0,0.498,4,-1,6
70,971.46,9120.0,0.666,7,-1,5
71,976.9,31391.0,0.728,5,-1,4
72,978.72,11268.0,0.395,3,2,6
73,980.64,10318.0,0.598,4,2,5
74,982.79,17371.0,0.551,3,2,6
75,987.4,27763.0,0.72,5,-1,4
76,988.98,31624.0,0.589,4,1,5
77,989.19,11146.0,0.653,4,2,4
78,990.35,18143.0,0.456,4,-1,4
79,1004.19,9380.0,0.428,4,1,5
80,1008.72,13493.0,0.631,5,-1,5
