event_number, event_time[s], pp_height[adc]
1, 7.922022104263306, 8605.0
2, 8.694847822189331, 7678.0
3, 9.020063400268555, 8215.0
4, 11.307133436203003, 8020.0
5, 15.55597710609436, 8455.0
6, 24.224597930908203, 9087.0
7, 27.33786177635193, 7380.0
8, 27.524442195892334, 7466.0
9, 28.56932783126831, 7073.0
10, 28.729220867156982, 9427.0
11, 28.82512593269348, 7869.0
12, 31.94922137260437, 9082.0
13, 32.04518270492554, 8339.0
14, 35.09471321105957, 7640.0
15, 35.32387566566467, 7393.0
16, 35.74500131607056, 6838.0
17, 38.789074182510376, 8082.0
18, 42.526249408721924, 6924.0
19, 43.40049743652344, 7969.0
20, 45.30910038948059, 7418.0
21, 46.172770500183105, 7714.0
22, 46.19398045539856, 9288.0
23, 47.45761251449585, 7481.0
24, 47.756120920181274, 8075.0
25, 49.38239884376526, 8576.0
26, 49.670252561569214, 7748.0
27, 56.456594944000244, 7900.0
28, 57.405351400375366, 7502.0
29, 59.09011673927307, 7987.0
30, 60.8280885219574, 6979.0
31, 67.01226949691772, 7388.0
32, 68.88355374336243, 29994.0
33, 70.76018333435059, 7099.0
34, 71.62918782234192, 20274.0
35, 74.4335618019104, 7285.0
36, 77.49878549575806, 8065.0
37, 80.07923007011414, 8041.0
38, 80.6442174911499, 8134.0
39, 84.29612827301025, 7907.0
40, 84.94641971588135, 7524.0
41, 85.14371061325073, 7517.0
42, 86.36995720863342, 8757.0
43, 94.73437857627869, 8172.0
44, 95.2621705532074, 9998.0
45, 97.22933149337769, 7864.0
46, 98.51951813697815, 7138.0
47, 104.453054189682, 7943.0
48, 110.2106704711914, 8046.0
49, 112.1727921962738, 8328.0
50, 112.81790232658386, 8816.0
51, 112.98317217826843, 8476.0
52, 114.38523459434509, 9671.0
53, 116.36849927902222, 8075.0
54, 118.84206080436707, 7699.0
55, 119.09795999526978, 7276.0
56, 119.86574745178223, 7074.0
57, 121.96627235412598, 7303.0
58, 123.54407119750977, 7268.0
59, 129.7601237297058, 8253.0
60, 131.26883554458618, 7606.0
61, 132.8095898628235, 6846.0
62, 133.5026798248291, 7828.0
63, 138.8816933631897, 7140.0
64, 139.34011673927307, 8486.0
65, 142.86389350891113, 8576.0
66, 143.26375722885132, 7555.0
67, 145.5722095966339, 7766.0
68, 146.12129950523376, 8375.0
69, 147.53405690193176, 26465.0
70, 147.72066354751587, 7868.0
71, 150.86611914634705, 8156.0
72, 151.9963185787201, 7459.0
73, 152.44405579566956, 7970.0
74, 153.26512241363525, 8741.0
75, 155.6107132434845, 8567.0
76, 155.74929404258728, 8133.0
77, 155.98926758766174, 7127.0
78, 156.52243638038635, 7709.0
79, 157.00228786468506, 8052.0
80, 158.0578122138977, 7835.0
81, 158.17507481575012, 7072.0
82, 159.68372917175293, 7991.0
83, 160.35015606880188, 6951.0
84, 161.01116967201233, 8225.0
85, 161.88546085357666, 7908.0
86, 166.3850016593933, 7174.0
87, 166.76892018318176, 8988.0
88, 167.66986751556396, 6579.0
89, 168.25099182128906, 7399.0
90, 168.25633788108826, 7918.0
91, 170.02620720863342, 8311.0
92, 170.22350764274597, 7517.0
93, 170.41551280021667, 8082.0
94, 171.13525438308716, 7626.0
95, 174.1208620071411, 7743.0
96, 176.92487907409668, 8053.0
97, 178.8710081577301, 7958.0
98, 179.19088125228882, 7389.0
99, 181.09919023513794, 7165.0
100, 181.83502078056335, 8334.0
101, 189.38927173614502, 8931.0
102, 189.88505005836487, 9514.0
103, 190.90876483917236, 9213.0
104, 191.20729422569275, 6507.0
105, 191.64449429512024, 7515.0
106, 192.45482540130615, 8333.0
107, 197.09278321266174, 7453.0
108, 202.93046045303345, 6666.0
109, 203.27172756195068, 8164.0
110, 205.53733468055725, 7317.0
111, 210.20740485191345, 7247.0
112, 212.83030462265015, 9014.0
113, 214.00318384170532, 7637.0
114, 215.36263465881348, 8475.0
115, 215.9224236011505, 8265.0
116, 217.53772616386414, 7578.0
117, 224.09519743919373, 7652.0
118, 224.58038663864136, 7411.0
119, 224.9748237133026, 7632.0
120, 227.70425987243652, 10031.0
121, 229.22360157966614, 7373.0
122, 230.35931968688965, 6912.0
123, 232.52904176712036, 6756.0
124, 233.07812070846558, 7971.0
125, 233.2166783809662, 7644.0
126, 235.26376271247864, 7488.0
127, 240.483145236969, 8241.0
128, 247.80814170837402, 8433.0
129, 249.8499493598938, 8327.0
130, 251.5184953212738, 8908.0
131, 251.77971863746643, 7281.0
132, 255.11716604232788, 7328.0
133, 258.65160965919495, 7548.0
134, 262.43139147758484, 8703.0
135, 268.8015694618225, 6799.0
136, 270.4437711238861, 7434.0
137, 270.4703245162964, 6888.0
138, 275.76953053474426, 8650.0
139, 279.5226969718933, 8362.0
140, 284.6406342983246, 7097.0
141, 285.8133578300476, 7746.0
142, 286.78354477882385, 7002.0
143, 286.80478525161743, 7930.0
144, 287.076860666275, 7938.0
145, 287.33797788619995, 7852.0
146, 288.13771510124207, 7574.0
147, 288.9799530506134, 7136.0
148, 289.7689116001129, 7275.0
149, 291.34160113334656, 7342.0
150, 291.84805059432983, 8635.0
151, 292.8717751502991, 9044.0
152, 293.13286447525024, 7410.0
153, 295.7292296886444, 7654.0
154, 295.9371509552002, 7988.0
155, 297.3765139579773, 9584.0
156, 301.177796125412, 6657.0
157, 305.63988399505615, 8339.0
158, 306.58359003067017, 7224.0
159, 308.08161664009094, 10192.0
160, 309.62229323387146, 7640.0
161, 313.0824167728424, 7805.0
162, 316.13165378570557, 6663.0
163, 317.14992690086365, 7321.0
164, 317.56044936180115, 7021.0
165, 318.12556505203247, 7135.0
166, 319.05844950675964, 7839.0
167, 320.15672874450684, 7613.0
168, 320.2473406791687, 7721.0
169, 330.0727005004883, 8360.0
170, 332.82368874549866, 8538.0
171, 333.80978631973267, 7295.0
172, 334.1349506378174, 8213.0
173, 335.5796899795532, 7597.0
174, 337.05647444725037, 7407.0
175, 337.8827087879181, 7767.0
176, 339.5885281562805, 9621.0
177, 342.72333693504333, 7343.0
178, 343.92819929122925, 6665.0
179, 353.38046979904175, 8042.0
180, 353.8921856880188, 7171.0
181, 355.32087898254395, 7666.0
182, 358.7433819770813, 7821.0
183, 360.1934676170349, 7562.0
184, 360.60411405563354, 8263.0
185, 361.93161129951477, 8886.0
186, 363.84006428718567, 6588.0
187, 364.5384864807129, 7368.0
188, 368.1639096736908, 8395.0
189, 369.8004388809204, 8047.0
190, 370.62138295173645, 7361.0
191, 370.8240134716034, 7533.0
192, 376.4112286567688, 8090.0
193, 377.0296025276184, 8731.0
194, 377.22144389152527, 7482.0
195, 379.87108612060547, 7428.0
196, 381.0225977897644, 6694.0
197, 382.0513916015625, 8894.0
198, 385.6607358455658, 7626.0
199, 393.11372590065, 7878.0
200, 393.46019315719604, 7415.0
201, 394.0998649597168, 7510.0
202, 397.7675678730011, 6559.0
203, 398.7645561695099, 6974.0
204, 401.03572964668274, 7027.0
205, 402.6136074066162, 7978.0
206, 403.26402831077576, 8203.0
207, 404.2930037975311, 8427.0
208, 404.9752838611603, 7828.0
209, 404.9965524673462, 7831.0
210, 408.21139311790466, 7233.0
211, 411.9911301136017, 7382.0
212, 412.32700395584106, 8522.0
213, 417.19452357292175, 7785.0
214, 417.301278591156, 7702.0
215, 418.07954239845276, 8085.0
216, 419.0390877723694, 23433.0
217, 420.4571752548218, 6735.0
218, 421.0009732246399, 8441.0
219, 421.05417704582214, 6809.0
220, 424.78080582618713, 7391.0
221, 425.319313287735, 6957.0
222, 426.5986213684082, 8259.0
223, 426.7638852596283, 7696.0
224, 431.25276255607605, 8245.0
225, 432.3509247303009, 8152.0
226, 433.4917962551117, 7502.0
227, 434.06243920326233, 7068.0
228, 435.20873975753784, 7511.0
229, 436.15219926834106, 7618.0
230, 440.02272367477417, 7543.0
231, 445.0181419849396, 7165.0
232, 445.3912453651428, 7692.0
233, 445.8762948513031, 9150.0
234, 447.1023609638214, 7223.0
235, 449.1548581123352, 26892.0
236, 450.1144199371338, 8231.0
237, 451.32989859580994, 7573.0
238, 455.64823484420776, 8438.0
239, 459.10263538360596, 8011.0
240, 460.2274878025055, 7272.0
241, 465.52662420272827, 6708.0
242, 466.33695363998413, 8061.0
243, 470.86859488487244, 10743.0
244, 476.5622386932373, 8336.0
245, 476.6581721305847, 8715.0
246, 480.9869222640991, 6984.0
247, 483.16729044914246, 8555.0
248, 483.5138339996338, 6932.0
249, 485.24649930000305, 8045.0
250, 492.4064772129059, 23005.0
251, 492.5930914878845, 7487.0
252, 497.2685170173645, 7677.0
253, 497.3858036994934, 7720.0
254, 497.4337270259857, 8924.0
255, 498.4361562728882, 8205.0
256, 498.686753988266, 7321.0
257, 500.3073160648346, 7783.0
258, 501.0056092739105, 6584.0
259, 503.6711702346802, 7969.0
